"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/11 2:35:23 PM GMT+2","8","2","6","Studying is much more than just my studies. Not being able to see my friends, do sports, do all the nice Coxi activities etc. takes away the best parts of being a student. ","6","4","","4","2","4","","","2","2","","2","","It is all very relativ.. The lectures work well compared to what? How it was before; then it is bad. How it works compared to other universities or schools: good enough. I think the problem is that this semester still counts as a ""normal"" semester (as far as I know), which is highly unfair. I would consider all of the classes much better if it would be a choice to take them.","","8","physical health issues;mental health issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);I cannot visit my dying grandmother. Also, in my shared flat we have been the third time in quarantine","No","I dont suffer from any psychological condition","","Advice study coordinator;Examination office","30 ECTS","1","a bit less","8","Yes, more than one semester more","Yes","Yes","","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Frosch","2","Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","I use a journal  to write down my to-do list, because I spend so much time in front of a computer","same as above just with blank sheets ","none","none","BSc CogSci","4","Very important to know ASAP",""
"2020/06/11 2:36:42 PM GMT+2","9","8","10","","8","8","","","9","9","","","10","9","","","3","","","3","social issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","20 ECTS","None","a bit less","7","No","Yes","No","No","about the same","Yes","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Eduroam/UniWifi Speeds","2","Riot;Blubber;Stud.IP Forum;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","8","Wiki (Look up specific descriptions & definitions)","Yes","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 2:41:55 PM GMT+2","7","3","6","Only participate in one lecture, which is a pretty nice lecture, but my overall mood overshadows the nice lecture","9","","","","","","","3","","","","","","","","6","mental health issues;financial issues;social issues;issues with access to study material (library, labs);I had no room to study. At home or at friend's places it is very hard to study","No","I dont suffer from any psychological condition","","None","less than 15 ECTS","2","much less","5","No","No","Yes","","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Stud.IP Forum","A nice structured ""Courseware"" option on studIP","Video of slides + Narration by lecturer.","","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","SPAM(https://portal.ikw.uni-osnabrueck.de/~SPAM/~)","talky.io (webconferences without register), google drive + colab  ","StudIP (provides all files and infos I need), and of course Linux, but that's obvious ","","7","Very important to know ASAP",""
"2020/06/11 2:44:42 PM GMT+2","4","8","6","","8","8","6","9","8","7","","5","4","4","8","6","8","","","4","social issues","No","No","","Examination office","25 ECTS","3","about the same","7","Yes, one semester more","Yes","No","No","more often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer","","4","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Etherpad (Collaborative Writing & Drawing)","Yes","No","","","","","MSc CogSci","4","",""
"2020/06/11 2:44:57 PM GMT+2","7","3","8","","9","6","","","","","","","2","2","","3","8","","","3","mental health issues","Seems likely /or/ Yes, but not diagnosed","No","","Examination office","more than 30 ECTS","1","about the same","4","No","No","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","4","Slack;Riot;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","4","Etherpad (Collaborative Writing & Drawing)","No","Yes","","Google Docs","Whatsapp, Telegram, discord","Google Docs ","BSc CogSci","2","It doesn't matter at all when I would know",""
"2020/06/11 2:45:22 PM GMT+2","8","9","10","Professors did a great job of switching their “ways” very rapidly. The lectures are very well structured and contrary to the “old” lecture, I can rewatch something if I missed it. I would even say this semester has been better than the last in terms of content and personal time management.","10","5","9","4","8","8","6","8","9","7","7","","","","","2","mental health issues;financial issues;social issues;internship (or similar) cancelled / postponed;No cheap Mensa food ","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","20 ECTS","3","much less","7","Yes, one semester more","Yes","No","Yes","about the same","Yes","No","No","Desktop/Laptop Computer;Pen & Paper","Mensa","2","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","No","No","Google Kalender, Google notes, BlockSite Extension","Word. Acrobat ","Telegram ","Spotify for LoFi background office music, Lieferando for when I’m fed up with cooking everyday, PornHub for times when my serotonin levels are low ","BSc CogSci","2","Good to know at some point but not urgent","Some professors really need to step up their “tech” game. Some slides look like the were made in 1999. Maybe because they were. "
"2020/06/11 2:45:26 PM GMT+2","2","1","5","Not being able to see friends at uni is really annoying","4","6","","","","6","1","6","1","6","","","1","It is incredibly hard to reach some professors, they just do not reply to emails or calls...","","8","mental health issues;social issues;issues with technical equipment (computer, internet, ...)","No","","It is really difficult to find motivation to do the self-study, in particular if there is no deadline for videos one has to watch...","Examination office","more than 30 ECTS","1","about the same","4","No","Yes","Yes","","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer","Printers","1","Slack;Blubber;Stud.IP Forum;Discord","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","1","Vips (With Question Pool & Selftest options )","Yes","No","","","Cisco, Skype, Zoom, Big Blue Button, Discord","","BSc CogSci","8+","Good to know at some point but not urgent","The situation at the Westerberg library is just hilarious! Hochschule students have access to study rooms,  printers etc. and 25 people at the same time are allowed. University students in the same (!!!) library may not use any facilities, no printers, no study rooms and only 4(!) people are allowed in! This is just ridiculous and makes no sense... I really had feeling of being a second class citizen!!! --- Furthermore: The situation to reach professors is not tolerable! I do know that Coxi professors are exceptionally busy and hard to reach, but normally when one needs something really urgent one can always find a lecture they are giving and catch them in the room... This is not possible now and I even have a friend who might get exmatriculated from the Master because her 2nd Superviser for the Bachelors Thesis refuses to reply to any emails since end of March and she can't register her thesis because of this! Another friend who needs her final certificate is also into trouble because her supervising Professor did not even start to correct her thesis which she handed in beginning of March(!) and he does not reply to any emails or calls! This situation is not ok, the professors do have a responsibility towards us!"
"2020/06/11 2:45:52 PM GMT+2","9","7","10","","5","2","5","6","","6","8","10","3","2","","1","1","","In general Lecturers / anyone in teaching should be aware of how problematic the situation is and be careful to be *extremely* forgiving with regards to deadlines, examination strategies, etc. There many issues students have to tackle right now which might render them unable to actively take part in studying, which are not at all their fault - help these students to still be able to finish their courses. ","3","financial issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);Communication with teachers/lecturers is more difficult","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","Communication issues: I have repreatedly witnessed situations in seminars (and heard from situations in lecturs) where there have been communication issues, regarding things like deadlines, contents of presentations, etc, which under normal circumstances would probably not have happened, because people would have talked about it (this includes situations where students only get some information by 'buschfunk', but also situations where teachers just did not put information into slides / their talks presentations, which would still have been available because people would just have asked them after the sessions)
Deadline issues: Personally and from friends i have encountered situations where their situation did now allow for them to submit homework to a deadline, for various reasons including mental health situations, not having wifi available (where normally just going to the library solves the issue, if you are not allowed to go somewhere else, what can you do?), just being overloaded with the untypical situation, having to work / apply for jobs because their job they rely on for money was cancelled due to corona, etc. Just not making deadlines that strict would have helped here, especially approving cases where the situation is unclear to the lecturer (a friend missed a deadline, the lecturer wanted explanation, but they did not want to disclose that they simply where in a fucked up financial situation due to their job being cancelled and had to struggle for a job/money for the week they had for their hw submission).","Advice mentoring team;Advice Fachschaft;Advice study coordinator","more than 30 ECTS","None","a bit more","7","No","Yes","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen)","Frosch","2","Slack;Discord;Telegram","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","1","External sources are just... better? Because more specialized and supported by more people, they just offer better infrastructure. ","Yes","Yes"," 
Habitica, slack (automated reminders via bot)
","Zotero, Onenote","Discord, BBB, Slack","Slack","MSc CogSci","1","It doesn't matter at all when I would know","Just thanks for caring!"
"2020/06/11 2:46:34 PM GMT+2","7","4","7","","8","","","","9","","","","10","","8","","10","","","5","social issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","No","","None","more than 30 ECTS","None","much more","10","No","No","Yes","","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","6","Stud.IP Forum","HTML/Web","Video of slides + Narration by lecturer.","6","Vips (With Question Pool & Selftest options )","Yes","Yes","Microsoft To Do","Microsoft Kurznotizen, text documents","Telegram, Discord, WhatsApp","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:51:37 PM GMT+2","6","8","9","Self organizing is even harder than before, but being more flexible (no fixed lecture times) allows new free time activities. Things are still better than expected.","9","","","8","1","2","","","4","3","9","9","8","Probably the biggest problem I have this semester is homework and projects. Working together just works so much better when you sit next to each other and can see what the other person is doing. Screensharing crowds your own screen, pointing at stuff simply does not work. Also I see no alternative for this. Just sucks.","","3","social issues;term abroad cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","No","","Advice mentoring team","25 ECTS","2","a bit less","5","No","No","No","No","less often than in previous semesters","Yes","No","Maybe","Desktop/Laptop Computer;Printer;got a second screen for this semester, helped a lot!","Frosch","3","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Notion, Google Kalender (synchronized)","Notion, Google Drive","Telegra, WhatsApp, Skype, BBB","Notion. I use it for everything: To Do lists, lecture notes, work notes, habits, bucket lists, reading lists, random ideas... Pages are highly customizable and can include different kinds of lists, tables, even code, you can include a page in a page and link to other pages. Best tool I ever used, I used to have 5 different applications, now its all in one. Also free for students!","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:55:05 PM GMT+2","6","8","10","","7","8","10","","","","","4","4","","","","4","","","3","social issues","Yes (Diagnosed or Suspected; via health care professional)","No","Social isolation and the lack of a schedule was definetely a struggle in the beginning of the semester, as I felt overwhelmed with the workload. Very unhelpful was the poor organisation in one specific course (the rest was well organized and reliable), which resulted in multiple readjustments to my schedule. Organizing study meetings with other students (remote and with my flatmates) was super helpful. Because lectures and tutorials are not fixed to a time, I had trouble taking off any day for the first few weeks, because the workload literally never stopped. In that sense, finding and adjusting to a schedule that works for me was tougher, but adjusting the timing to my needs was easier.
I have been diagnosed with depression and definetely felt that the isolation from a more active study life (as in going out and leaving work mentally when leaving the library) has taken its toll. I am very close to my flatmates which has helped a lot, but I am sure many other students (especially new ones) do feel isolated and alone with their struggles (the second semester was a tough one).  As this probably will be going on as it is for a while, we should not forget about the ones who are alone at their desk with a lot of workload and without much experience with such situations. Online seminars which help with self organizing would be great.","Advice mentoring team;Psychological counseling;Examination office;Petra Dießel, always helpful","more than 30 ECTS","1","about the same","8","No","No","Yes","","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Timetable (android google play store), TomatoTimer","AnkiDroid Flashcards","","","BSc CogSci","6","It doesn't matter at all when I would know",""
"2020/06/11 2:55:05 PM GMT+2","7","7","7","Initially I thought this semester was going to be an advantage and I was gonna be able to focus on learning more than I did in the previous semester. I thought that by having digital access to all lectures and material would allow me to focus on that and not having to deal with going to the university in person and waste time while enrolling in casual conversation with others would be an advantage. I personally manage very well self learning and during the summer break I had the change to experience it while doing computational pragmatics. The course was well structured and the video explanations and material was well organized. 
However, this is not the case for most subjects and that is surprisingly overwhelming for me since we (the CogSci) are suppose to deal with technology or virtual platforms all the time. Not all the professors are prepared for moving into digitalization (I think nobody was -including us, students). 
I think  since we are using digital material, just a 2 hours video lecture and 60-80 slides  will not be very helpful. That we should know from psychology, attention does not last that long-- and given there is not interaction, things are more complicated. Therefore, virtual learning platforms demand interactivity (e.g., answer a question in between video, solving x or w task etc.) something that motivates me to keep looking and feeling I follow the professor.
Finally, I think there is a delay nobody is considering .. from the time professors do recordings and us watch the videos. One can easily spend one full day just trying to find put the material on StudIp and watching videos for both... lectures and practice sessions. So, if I class on Monday 10-12 but at that moment there is not video because it is being recorded, then I have to move all my plans and work on that later in the week... aaah but true, the homework is still for the end of the week.","2","1","7","6","6","2","6","5","1","1","","","","Some classes are not well adapted to total virtual platforms. The classes are basically composed of a almost 2 hours video and 60-80 slides. That's all. Given classes are online. then the strategy should be a different one. 
I would rather watch a 20 minutes video explaining straight away what is important and answer some questions in between. 
and then spend the rest of the time researching for answering some extra question the professor formulates than just passively listening him talk ","Trying to improve the actual passive 2 hours video-slide format of the lectures would be a great start.","4","issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);finding a way to deal with this passive format of the lectures, waiting for the lectures to be uploaded, procrastination, working in groups is the worst thing ever!, not only others are expecting you to do the HW, but also your grade depend on what they do!","No","","The worst thing of this semester was me feeling as shit. Literarily, thinking I am the one who is wrong because I do not get to understand X or Y lecture, homework deadlines, my groups is not doing anything and I have to do most work because I want a good grade etc. 
Then, finally realizing that I am not understanding not because I am bad or not intelligent enough but it is the format and the (sorry to say) long-boring-passive lectures are sometimes given. I realize that it is easier and better if I just take the topic in question for the week lecture, do not spend time watching the lectures videos and just google or YouTube explanations about it. much more efficient!","None;Google and YouTube ","25 ECTS","1","a bit more","10","Yes, more than one semester more","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Library Books","1","Blubber;Stud.IP Forum","HTML/Web","Video of slides + Narration by lecturer.","1","Vips (With Question Pool & Selftest options )","Yes","Yes","timeit, google calendar","notability, goodnotes ","none","coursera, edx, quizlet, kahoot, YouTube, Google, ","MSc CogSci","2","Very important to know ASAP","I think it would be a great idea for us as students during this ""online learning"" times to be able to access more online material that is out there. Not only regarding book but in general courses that are already ""online learning"" format friendly designed and would allow us to complete our studies. By that I mean platforms such as Edx, coursera, code Academy or the like which are already in the correct virtual format "
"2020/06/11 2:55:52 PM GMT+2","9","8","10","I save time by having online courses and understand the contents better because I can have my own pace. It works much better than a normal semester for me. ","9","9","","10","9","9","","","9","","10","10","","","BBB has sometimes problems but zoom always worked also for large groups. So would be nice if BBB could also improve the quality. And if every lecturer let's us download the content since sometimes it's not possible for me to watch them online because of my Internet connection. ","2","no particular issues","No","I dont suffer from any psychological condition","","","30 ECTS","None","about the same","4","No","Yes","Yes","Yes","about the same","No","No","No","Desktop/Laptop Computer;Pen & Paper;Remarkable ","None of them. I learn better at home. ","5","Blubber;Stud.IP Forum;Discord;Zoom, WhatsApp, telegram ","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Trello, Google Calendar ","Remarkable, word, pdf, excel ","Zoom, WhatsApp, telegram, Discord, Stud. IP","My lap top because I can access the information with it. ","BSc CogSci","4","Very important to know ASAP","After the experience of this semester, I wish that all semesters could also be offered online. I found out that home office and online semester is more productive for me and for some courses definitely online works better. So at least offering some online courses in a non covid 19 situation semester could be a good idea in my opinion because for instance for me it would be great because I also have to work and finance myself and don't have too much time to spare and online courses help me a lot to finish my studies sooner. "
"2020/06/11 2:56:13 PM GMT+2","7","7","9","","3","6","6","10","8","9","5","5","","","","8","","","","4","could not travel to Germany;issues with technical equipment (computer, internet, ...)","No","No","","None","less than 15 ECTS","1","much less","6","Yes, one semester more","Yes","Yes","","","","","Maybe","Desktop/Laptop Computer","","2","Stud.IP Forum","","Video of slides + Narration by lecturer.","7","","No","No","","","","","MSc CogSci","7","Good to know at some point but not urgent",""
"2020/06/11 2:59:14 PM GMT+2","7","10","9","","9","5","10","7","10","8","6","5","10","8","5","1","4","","","3","financial issues;could not travel to Germany;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","I had to work many hours to pay my rent and bills.I lost my previous job. Hiwi jobs could help but there are few free positions for international students and we never get informed on time.","Advice mentoring team","more than 30 ECTS","4","a bit more","10","Yes, one semester more","No","No","No","about the same","No","No","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Pen & Paper","Printers","3","Riot;Blubber;Stud.IP Forum;Discord;Zoom ","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","","2","Very important to know ASAP","Overall I liked the online semester to be honest. It gave me the peace of mind I always wanted and present lectures are not that important to me.
The financial problems kept me from concentrating on the learning materials and the crazy amount of workload was the most negative point. I also wish for some rule changes due to the credits we need to deliver till end of second semester and if we need extended time to finish."
"2020/06/11 3:01:11 PM GMT+2","8","4","8","","9","","","8","","","","","","","","","","","","5","no particular issues","No","","","Advice mentoring team;Examination office","20 ECTS","None","much less","5","No","No","No","Yes","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Pen & Paper","Printers","6","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","Vips (With Question Pool & Selftest options )","Yes","Yes","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 3:01:44 PM GMT+2","7","4","8","","9","","","2","","5","","1","","2","1","","5","","","4","social issues;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","","","Advice dean of studies;Examination office","more than 30 ECTS","None","a bit more","5","No","Yes","Yes","","less often than in previous semesters","Yes","No","No","Desktop/Laptop Computer;Pen & Paper","","8","Slack;Telegram","","","4","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Online Calender, Todo-List","","","","MSc CogSci","4","Very important to know ASAP","Currently, the most important issue for me is the question how to organize my thesis in terms of supervisors and the topic. The Corona situation for me is the reason to consider writing with  someone from the institute despite the obvious lack of linguists right now."
"2020/06/11 3:02:42 PM GMT+2","5","4","5","","7","4","3","6","1","2","","4","3","3","","","","","","8","mental health issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","None","30 ECTS","None","much less","9","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","Yes","","Yes","Hybrid Laptop/Tablet","Secluded Workplaces (e.g. Library Rooms)","2","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Wiki (Look up specific descriptions & definitions)","No","No","google calendar,  Real life caledar","Adobe PDF viewer, OneNote","Big Blue Button, Zoom, Google Presentation/Docs, Skype","","","4","It doesn't matter at all when I would know",""
"2020/06/11 3:07:30 PM GMT+2","7","4","8","","10","1","7","","1","","","","6","3","","","","","","3","no particular issues","No","","","","30 ECTS","2","about the same","9","Yes, one semester more","No","No","No","less often than in previous semesters","Yes","No","Maybe","Hybrid Laptop/Tablet;Pen & Paper","Mensa","1","Riot;Blubber;Stud.IP Forum;Discord","HTML/Web","Video of slides + Narration by lecturer.","5","Vips (With Question Pool & Selftest options )","Yes","No","nothing particular, google calendar for important dates(long-time assignments, exams,etc)","regular file system, git, notepad, microsoft word, anki flashcards","WhatsApp, Telegram, Skype","Apart from my laptop, headphones, a working internet-connection and StudIP, I could name no particular MVP with general usefulness for all courses, though there are plenty helpful course-specific tools. I sometimes miss a second display next to my small laptop screen as a CIP pool computer would make up for...","BSc CogSci","4","Good to know at some point but not urgent","I appreciate the online format of lectures, because one can go through the content in one's own pace and make sure to understand everything by including pauses rather than always facing the impossible challenge of focussing for 90 minutes of new content input straight. But I really miss the social factor of studying, meeting fellow students and discussions with them (also about course-related stuff), and an opportunity to get personal help with concrete problems, e.g. course-specific digital infrastructure setup, which took me quite some time this semester. However, I guess I also learned a lot about how to solve arising problems on my own in this semester."
"2020/06/11 3:10:33 PM GMT+2","4","8","5","","8","3","","","2","","","","","","","3","","","","2","term abroad cancelled / postponed;internship (or similar) cancelled / postponed","No","","","","","","","6","Yes, one semester more","No","Yes","","about the same","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","1","Blubber;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","","Vips (With Question Pool & Selftest options )","No","Yes","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 3:10:35 PM GMT+2","9","9","10","","9","10","7","","10","10","","","10","10","","","","I really like online presentations since one does not have to stand in front of the whole class but rather can sit at home while giving the presentation. That might be more comfortable for shy persons.","","2","social issues;term abroad cancelled / postponed","No","No","","Examination office","more than 30 ECTS","1","about the same","5","No","Yes","Yes","","less often than in previous semesters","Yes","No","No","Desktop/Laptop Computer;Pen & Paper","Frosch","5","Riot;Stud.IP Forum;Discord","Powerpoint","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","8","Cliqr (Online Polls & Surveys)","No","No","Calendar","","Discord, Skype","Skype since I can stay in contact with friends and I do not feel so socially isolated","BSc CogSci","4","Good to know at some point but not urgent","I love this online semester even though participating in info B is very stressful"
"2020/06/11 3:10:43 PM GMT+2","8","1","6","","10","7","7","6","1","1","7","8","7","7","5","2","2","","","7","mental health issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","None","more than 30 ECTS","2","about the same","8","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","No","No","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","Blubber;Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","9","Vips (With Question Pool & Selftest options )","Yes","Yes","","","","","BSc CogSci","4","Very important to know ASAP",""
"2020/06/11 3:19:26 PM GMT+2","8","4","7","","4","6","5","6","7","6","5","3","2","2","5","","","","","7","social issues","No","","","","30 ECTS","None","about the same","8","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","Yes","No","No","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","5","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","8","Wiki (Look up specific descriptions & definitions)","No","No","","","WhatsApp, Telegram","Laptop ","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 3:28:38 PM GMT+2","3","1","5","I feel like the workload for seminars increased heavily","7","4","9","","3","1","","1","1","2","","","3","I like the ""Übungsvideos"" for Info B a lot. They work even better than the practice at university as I can pause and replay them at any time I feel overwhelmed.","Sadly not. I find it hard to discuss in a chat as one can not see the faces of the interlocutor","10","physical health issues;mental health issues;social issues;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","My mother died and now my whole family life crumbles. I feel so lost and I can't solve all the problems that burden my father. I am tired all the time","Psychological counseling","25 ECTS","1","about the same","8","No","Yes","Yes","","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","2","Riot;Stud.IP Forum;Discord;BBB","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Vips (With Question Pool & Selftest options )","No","No","none  o.O","Visual Studio Code","Whatsapp, Disord, BBB, Google Presentation","","BSc CogSci","6","Very important to know ASAP","Since I cannot meet my peers in the Mensa and overhear them talking, I am constantly feeling like I forgot something important, but I can not ask them because I don't know what it could be. --- Furthermore I feel anxious about online exams. What happens if the internet does not work during that time? "
"2020/06/11 3:31:29 PM GMT+2","4","6","5","","2","2","9","6","2","5","5","2","7","7","5","5","7","","","7","social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","Yes, but i can somehow deal with it","","","more than 30 ECTS","2","a bit less","7","Yes, more than one semester more","Yes","No","No","more often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Vips (With Question Pool & Selftest options )","Yes","No","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
